date,dates,rank,song,artist
04/08/1958,01/08/1958,1,Poor Little Fool,Ricky Nelson
04/08/1958,01/08/1958,2,Patricia,Perez Prado And His Orchestra
04/08/1958,01/08/1958,3,Splish Splash,Bobby Darin
04/08/1958,01/08/1958,4,Hard Headed Woman,Elvis Presley With The Jordanaires
04/08/1958,01/08/1958,5,When,Kalin Twins
04/08/1958,01/08/1958,6,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels
04/08/1958,01/08/1958,7,Yakety Yak,The Coasters
04/08/1958,01/08/1958,8,My True Love,Jack Scott
04/08/1958,01/08/1958,9,Willie And The Hand Jive,The Johnny Otis Show
04/08/1958,01/08/1958,10,Fever,Peggy Lee
04/08/1958,01/08/1958,11,Ginger Bread,Frankie Avalon
04/08/1958,01/08/1958,12,Just A Dream,Jimmy Clanton And His Rockets
04/08/1958,01/08/1958,13,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page
04/08/1958,01/08/1958,14,If Dreams Came True,Pat Boone
04/08/1958,01/08/1958,15,For Your Precious Love,Jerry Butler and The Impressions
01/09/1958,01/09/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
01/09/1958,01/09/1958,2,Little Star,The Elegants
01/09/1958,01/09/1958,3,Bird Dog,The Everly Brothers
01/09/1958,01/09/1958,4,Just A Dream,Jimmy Clanton And His Rockets
01/09/1958,01/09/1958,5,Poor Little Fool,Ricky Nelson
01/09/1958,01/09/1958,6,Patricia,Perez Prado And His Orchestra
01/09/1958,01/09/1958,7,My True Love,Jack Scott
01/09/1958,01/09/1958,8,When,Kalin Twins
01/09/1958,01/09/1958,9,Ginger Bread,Frankie Avalon
01/09/1958,01/09/1958,10,Are You Really Mine,Jimmie Rodgers
01/09/1958,01/09/1958,11,Born Too Late,Poni-Tails
01/09/1958,01/09/1958,12,Fever,Peggy Lee
01/09/1958,01/09/1958,13,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels
01/09/1958,01/09/1958,14,Western Movies,The Olympics
01/09/1958,01/09/1958,15,Volare (Nel Blu Dipinto Di Blu),Dean Martin
06/10/1958,01/10/1958,1,It's All In The Game,Tommy Edwards
06/10/1958,01/10/1958,2,Bird Dog,The Everly Brothers
06/10/1958,01/10/1958,3,Rock-in Robin,Bobby Day
06/10/1958,01/10/1958,4,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
06/10/1958,01/10/1958,5,Little Star,The Elegants
06/10/1958,01/10/1958,6,Tears On My Pillow,Little Anthony And The Imperials
06/10/1958,01/10/1958,7,Susie Darlin',Robin Luke
06/10/1958,01/10/1958,8,Tea For Two Cha Cha,The Tommy Dorsey Orchestra
06/10/1958,01/10/1958,9,Summertime Blues,Eddie Cochran
06/10/1958,01/10/1958,10,Near You,Roger Williams
06/10/1958,01/10/1958,11,How The Time Flies,Jerry Wallace
06/10/1958,01/10/1958,12,Just A Dream,Jimmy Clanton And His Rockets
06/10/1958,01/10/1958,13,The End,Earl Grant
06/10/1958,01/10/1958,14,Born Too Late,Poni-Tails
06/10/1958,01/10/1958,15,Chantilly Lace,Big Bopper
